L,beta_peak_chi,beta_peak_cv,peak_chi,peak_cv
5,0.5666666666666667,0.4111111111111111,13.265552789333334,0.901730891851851
10,0.4111111111111111,0.4111111111111111,18.219001263555555,1.2345120360296375
15,0.4111111111111111,0.4111111111111111,24.614523007012348,1.2724010283808016
20,0.4111111111111111,0.4111111111111111,28.00862426088889,1.2324114965135897
25,0.4111111111111111,0.4111111111111111,40.22507550919112,1.2043168192916687
